,date,Headlines
6593,2016-06-14,Hillary Supporters Can Now ‘Be Public’ on Facebook
6594,2016-06-16,"Omar Mateen Posted to Facebook Amid Orlando Attack, Lawmaker Says"
6595,2016-06-16,Facebook Asked to Provide Details of Gunman’s Postings
6596,2016-06-17,A Hacking of More Than $50 Million Dashes Hopes in the World of Virtual Currency
6597,2016-06-17,How to Gauge a C.E.O.’s Value? Hint: It’s Not the Share Price
6598,2016-06-17,Man Inadvertently Broadcasts His Own Killing on Facebook Live
6599,2016-06-18,Five Choices in New York Congressional Primaries
6600,2016-06-18,The Week on Instagram
6601,2016-06-20,Janet Yellen to Testify Before Congress and Britain to Vote on ‘Brexit’
6602,2016-06-22,Congress vs. the States on Guns
6603,2016-06-22,Congressman Moves to Block Harriet Tubman’s Placement on $20 Bill
6604,2016-06-22,Facebook Shareholder Vote Produces Odd Results
6605,2016-06-22,"Mark Zuckerberg Covers His Laptop Camera. You Should Consider It, Too."
6606,2016-06-23,"Congressman Chaka Fattah, Convicted of Bribery, Will Step Down in October"
6607,2016-06-23,Zika Deal in Congress Likely to Be Delayed Until After Recess
6608,2016-06-23,Facebook Envy Lures Egyptian Teenagers to Europe and the Migrant Life
6609,2016-06-23,"Review: In ‘Breaking a Monster,’ a Plea to Play Heavy Metal"
6610,2016-06-24,"Gun Control Effort in Congress Isn’t Dead, but Prospects Aren’t Good"
6611,2016-06-25,The Week on Instagram
6612,2016-06-27,Congressional Hopefuls Face Off in New York Primaries
6613,2016-06-27,"At Cannes, the Ad Industry Confronts the Rise of Facebook"
6614,2016-06-27,Limiting Your Facebook Audience
6615,2016-06-28,Four States Hold Congressional Primaries
6616,2016-06-29,Incumbents in New York Congressional Primaries Ward Off Challengers
6617,2016-06-29,Adriano Espaillat Is in Position to Replace Rangel and Become First Dominican in Congress
6618,2016-06-29,"From Boko Haram’s Birthplace, Instagram Posts Beyond ‘Death and Despair’"
6619,2016-06-29,Facebook to Change News Feed to Focus on Friends and Family
6620,2016-06-29,"Facebook, a News Giant That Would Rather Show Us Baby Pictures"
6621,2016-06-30,"After Congressional Primary, Harlem’s Reign as a Power Base May Be Over"
6622,2016-06-30,Congress’s Failure to Fund Zika Response
6623,2016-06-30,Maxwell Is on His Own Timetable
6624,2016-06-30,Feeling Stung by a Fickle Friend Named Facebook
6625,2016-06-30,Still Want to Get the News on Facebook? Read All About It
6626,2016-09-01,A Report to Congress on Drug-Smuggling Tunnels
6627,2016-09-01,T.P.P. Faces Rough Road in Congress
6628,2016-09-02,China Opens Antitrust Investigation Into Uber’s Deal With Didi
6629,2016-09-03,The Week on Instagram
6630,2016-09-04,Tim Kaine Compares Donald Trump’s Comments on Russian Hacking to Watergate Scandal
6631,2016-09-05,"Heavy Metal Magazine, Long a Provocateur, Returns to Its Roots"
6632,2016-09-06,Congress Returns From Break to a Pre-election Landscape
6633,2016-09-06,On the Menu When Congress Returns From Recess
6634,2016-09-06,Utah Republican Becomes Hillary Clinton’s Latest Congressional Adversary
6635,2016-09-07,Five Things to Know About Congress’s Fight Over Zika
6636,2016-09-08,Metal Gates Unfurl as Colorful Canvases on the Lower East Side
6637,2016-09-08,North Carolina Men Arrested in Hacking Into C.I.A. Director’s Email
6638,2016-09-09,Hedge Fund and Cybersecurity Firm Team Up to Short-Sell Device Maker
6639,2016-09-09,Facebook Restores Iconic Vietnam War Photo It Censored for Nudity
6640,2016-09-10,"Dustin Moskovitz, Facebook Co-Founder, Pledges $20 Million to Aid Democrats"
6641,2016-09-13,Brazil’s Congress Expels Lawmaker Who Led Ouster of President
6642,2016-09-13,"Delaware, New Hampshire and Rhode Island Hold Congressional Primaries"
6643,2016-09-14,Congress Considers Plan to Curb Ticket ‘Bots’
6644,2016-09-14,New Librarian of Congress Offers a History Lesson in Her Own Right
6645,2016-09-15,Sowing Doubt Is Seen as Prime Danger in Hacking Voting System
6646,2016-09-15,Buy Movie Tickets on Facebook? Fandango Makes It Possible
6647,2016-09-16,The Week on Instagram
6648,2016-09-19,A Facebook First for New York Philharmonic: Streaming Its 175th Anniversary Opener
6649,2016-09-20,"Sheldon Adelson Focuses on Congressional Races, Despite Donald Trump’s Pleas"
6650,2016-09-20,How to Avoid Hacking
6651,2016-09-21,Mark Zuckerberg and Priscilla Chan Pledge $3 Billion to Fighting Disease
6652,2016-09-23,Congressman Tells BBC: Charlotte Protesters ‘Hate White People’
6653,2016-09-23,"Morning Agenda: Yahoo’s Hacking, Princeling Problem, Test for the Justice Dept."
6654,2016-09-23,Facebook Apologizes for Overstating Video Metrics
6655,2016-09-23,Coffee Grounds May Filter Out Heavy Metals in Water
6656,2016-09-23,"Obama Vetoes 9/11 Bill, but Congressional Override Is Expected"
6657,2016-09-23,What the Hacking at Yahoo Means for Verizon
6658,2016-09-23,How Yahoo’s Data Breach Could Affect Its Deal With Verizon
6659,2016-09-24,"Farhad’s and Pui-Wing’s Week in Tech: Yahoo’s Hacking, Self-Driving Cars and the Future of Twitter"
6660,2016-09-24,Donald Trump’s Hotel Chain to Pay Penalty Over Data Breaches
6661,2016-09-25,Making Video Ads That Work on Facebook’s Silent Screen
6662,2016-09-26,"Congress Meets, With 5 Days to Avoid Shutdown Over Funding"
6663,2016-09-26,What to Watch as Congress Nears Deadline to Avert Shutdown
6664,2016-09-27,Facebook Ordered to Stop Collecting Data on WhatsApp Users in Germany
6665,2016-09-28,How to Be Mindful With Facebook
6666,2016-09-28,"Congress Approves Spending Bill, Averting Government Shutdown"
6667,2016-09-28,Congress Votes to Override Obama Veto on 9/11 Victims Bill
6668,2016-09-28,What Stumpf Is Telling Congress About the Wells Fargo Scandal
6669,2016-09-28,"U.S. Congress, El Cajon, Hillary Clinton: Your Wednesday Evening Briefing"
6670,2016-09-29,What Wells Fargo’s C.E.O. Told Congress
6671,2016-09-30,Chinese Purchases of U.S. Companies Have Some in Congress Raising Eyebrows
6672,2016-09-30,Appeals Court Rulings Thrust Antitrust Policy Into the Spotlight
6673,2016-10-01,Congress Has Itself to Blame for 9/11 Bill
6674,2016-10-02,"At Valentino, Pierpaolo Piccioli’s Metamorphosis"
6675,2016-10-02,Robert Mugabe Seizes on the Latest Political Threat to His Zimbabwe: WhatsApp
6676,2016-10-03,"In Upstate Congressional Race, a ‘Classic Boxers’ Match’ That Is Virtually Tied"
6677,2016-10-04,"Facebook Marketplace Goes Wrong: Sex, Guns and Baby Hedgehogs"
6678,2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress
6679,2016-10-06,Facebook Live: ‘A Day in the Life at Lincoln Center’
6680,2016-10-06,"After Congressional Grilling, Wells Fargo Is Berated in Newspaper Ads"
6681,2016-10-08,"Roslyn Litman, Antitrust Lawyer and Civil Liberties Advocate, Dies at 88"
6682,2016-10-10,Members of Congress Ask N.H.L. for More Concussion Information
6683,2016-10-10,Letter From Congress to Gary Bettman
6684,2016-10-11,"Metaphorically Speaking, Men Are Expected to be Struck by Genius, Women to Nurture It"
6685,2016-10-12,Obama Considers ‘Proportional’ Response to Russian Hacking in U.S. Election
6686,2016-10-12,Who’s That Voice Asking for Scrap Metal in Mexico? A 10-Year-Old Girl
6687,2016-10-12,"Facebook Helped Drive a Voter Registration Surge, Election Officials Say"
6688,2016-10-14,Wells Fargo’s New Boss Is Same as the Old Boss to Congress
6689,2016-10-14,Daily Report: Hacking on Yahoo May Knock Down Its Sale Price
6690,2016-10-16,Earnings Reports for Goldman Sachs and Yahoo
6691,2016-10-18,11 Ways to Take a Better Food Photo on Instagram
6692,2016-10-18,Yahoo Says Traffic Rose Despite Hacking That Could Alter Verizon Deal
6693,2016-10-19,"Donald Trump, Honing Outsider Message, Backs Term Limits for Congress"
6694,2016-10-20,Trove of Stolen Data Is Said to Include Top-Secret U.S. Hacking Tools
6695,2016-10-22,Russian Suspected of Hacking U.S. Tech Companies Is Indicted
6696,2016-10-23,"Chase Courts Instagram Set, Whetting Appetites for Travel and Dining"
6697,2016-10-24,Black Democrats to Hillary Clinton: Send Money to Take Congress
6698,2016-10-25,How to Clean Up Instagram Comments
6699,2016-10-26,"Morning Agenda: New Antitrust Era, Relief for VW Owners, Apple’s Optimism"
6700,2016-10-26,"Republicans in Congress Fear Losses, and Then the Hard Part"
6701,2016-10-28,Facebook Can Tell You What to Expect in the Voting Booth
6702,2016-10-28,Letter to Congress From F.B.I. Director on Clinton Email Case
6703,2016-10-28,Camille Becerra Finds a Home via Instagram
6704,2016-10-30,The Stakes Are Rising in Google’s Antitrust Fight With Europe
6705,2016-10-31,Why Your Facebook Friends Are Checking In to Standing Rock
6706,2016-10-31,"Facebook Could Be Associated With a Longer Life, Study Finds"
6707,2016-11-01,"Halloween, Instagram Style"
6708,2016-11-02,Facebook Defies Social Media Gravity With User and Profit Growth
6709,2016-11-03,South Korea’s Metastasizing Crisis
6710,2016-11-03,Google Rebuts Antitrust Claims in Europe
6711,2016-11-04,Missing South Carolina Woman Found in Metal Container
6712,2016-11-04,"Billboard, Souvenir, Metaphor: The Many Uses of a German Beer Coaster"
6713,2016-11-04,Daily Report: Vote Hacking
6714,2016-11-05,A Muted Alarm Bell Over Russian Election Hacking
6715,2016-11-07,Why Facebook Showed You That Ad for the Candidate You Hate
6716,2016-11-08,"Pantsuit Nation, a ‘Secret’ Facebook Hub, Celebrates Clinton"
6717,2016-11-09,Josh Gottheimer Defeats Scott Garrett in New Jersey Congressional Race
6718,2016-11-10,Republicans in Congress Plan Swift Action on Agenda With Donald Trump
6719,2016-11-10,Parallels Between Europe’s Antitrust Cases Against Google and Microsoft
6720,2016-11-10,1916: Montana Elects a Woman to Congress
6721,2016-11-10,"Aaron Schock, Ex-Illinois Congressman, Is Indicted"
6722,2016-11-11,Why Did Facebook Say I Was Dead?
6723,2016-11-11,Facebook Will Stop Some Ads From Targeting Users by Race
6724,2016-11-12,Trump and Congress Both Want Tax Cuts. The Question Is Which Ones.
6725,2016-11-12,"Facebook, in Cross Hairs After Election, Is Said to Question Its Influence"
6726,2016-11-13,"Donald Trump, New Zealand, Facebook: Your Monday Briefing"
6727,2016-11-14,"Iran, Spending, Defense: Areas to Watch as Congress Reconvenes"
6728,2016-11-15,Google and Facebook Take Aim at Fake News Sites
6729,2016-11-15,Mark Zuckerberg Is in Denial
6730,2016-11-15,Congressional Republicans Project Unity While Democrats Scramble
6731,2016-11-16,"As Trump Embraces Term Limits, Allies in Congress Pull Away"
6732,2016-11-16,Facebook’s Damage to Democracy
6733,2016-11-16,"Metallica, Still Thrashing but Comfortably Adult"
6734,2016-11-16,Facebook Acts to Restore Trust After Overstating Video Views
6735,2016-11-17,White House Confirms Pre-Election Warning to Russia Over Hacking
6736,2016-11-17,Daily Report: Facebook Does Some Explaining on Metrics
6737,2016-11-19,"Facebook Considering Ways to Combat Fake News, Mark Zuckerberg Says"
6738,2016-11-19,Facebook and the Digital Virus Called Fake News
6739,2016-11-19,Cambridge Analytica and the Secret Agenda of a Facebook Quiz
6740,2016-11-21,Mark Zuckerberg and Facebook Must Defend the Truth
6741,2016-11-21,Instagram Introduces New Features That Mimic Twitter and Snap Tools
6742,2016-11-22,Facebook Said to Create Censorship Tool to Get Back Into China
6743,2016-11-23,"Donald Trump, Global Warming, Facebook: Your Wednesday Briefing"
6744,2016-11-23,"Morning Agenda: Aid for Investment Funds, Billions in Profit for Madoff Investors, Facebook’s Censorship Tool"
6745,2016-11-23,Daily Report: Facebook Courts China With Censoring Software
6746,2016-11-24,Warning Russia on Hacking Isn’t Enough
6747,2016-11-26,"U.S. Officials Defend Integrity of Vote, Despite Hacking Fears"
6748,2016-11-28,Congress May Hold Key to Handling Trump’s Conflicts of Interest
6749,2016-11-28,Metallica’s ‘Hardwired ... to Self-Destruct’ Earns 3rd-Biggest Opening Week of 2016
6750,2016-11-28,Facebook Runs Up Against German Hate Speech Laws
6751,2016-11-29,Facebook Shouldn’t Fact-Check
6752,2016-11-29,Traders Bet on Big Stimulus Spending. Congress May Not Go Along.
6753,2016-11-29,Daily Report: Facebook Spends a Month Behind the Woodshed
6754,2016-11-30,‘Instagram Face’: Is It the End of Good Makeup?
6755,2016-11-30,Jackie Kennedy: The First Instagram First Lady
6756,2016-12-01,Colombia’s Congress Approves Peace Accord With FARC
6757,2016-12-03,Farhad’s and Mike’s Week in Tech: More Debate Over Facebook’s Role in Media
6758,2016-12-05,Letter to Congress for Funds to Protect Trump in New York City
6759,2016-12-06,Facebook and Other Tech Companies Seek to Curb Flow of Terrorist Content
6760,2016-12-06,"K.K.R., With Deal for Cybersecurity Company, Extends Its Flurry of Activity"
6761,2016-12-06,Instagram Introduces New Tools Meant to Curb Abuse and Expand Privacy
6762,2016-12-06,Prominent Antitrust Lawyer to Join Weil Gotshal
6763,2016-12-07,Can Congress Lift the Presidential Conflict of Interest Exemption?
6764,2016-12-07,Facebook Struggles to Put Out Online Fires in Israeli-Palestinian Conflict
6765,2016-12-08,‘Big Social’ and Facebook’s Moral Core
6766,2016-12-09,"Congress Moves to Curb Ticket Scalping, Banning Bots Used Online"
6767,2016-12-10,Facebook Reports New Issues With Ad-Counting Tools
6768,2016-12-10,Farhad’s and Mike’s Week in Tech: Why Facebook Can’t Count
6769,2016-12-12,Senate and House Leaders Call for Inquiry of Russian Hacking in Election
6770,2016-12-13,Forget AT&T. The Real Monopolies Are Google and Facebook.
6771,2016-12-13,Congressional Query Into Russian Meddling Could Revive Bipartisan Oversight
6772,2016-12-13,A Potential Hitch in Zuckerberg’s Stock Plan for Facebook
6773,2016-12-14,Democratic House Candidates Were Also Targets of Russian Hacking
6774,2016-12-14,"Harsh Facebook Posts, Jail and Now Death: A Man’s Fate Angers Algeria"
6775,2016-12-15,Congressman Proposes National Surveillance Program After Trump Meeting
6776,2016-12-15,Facebook Mounts Effort to Limit Tide of Fake News
6777,2016-12-15,How Facebook’s Fact-Checking Partnership Will Work
6778,2016-12-16,Daily Report: Facebook Joins Fight Against Fake News
6779,2016-12-16,Clinton Says ‘Personal Beef’ by Putin Led to Hacking Attacks
6780,2016-12-16,The Humiliations of Life After Congress
6781,2016-12-16,Obama Says He Told Putin: ‘Cut It Out’ on Hacking
6782,2016-12-16,"Trump Picks Mick Mulvaney, South Carolina Congressman, as Budget Director"
6783,2016-12-18,"Benjamin Gilman, a New York Congressman for 30 Years, Dies at 94"
6784,2016-12-18,Bipartisan Letter Seeks Single Inquiry Into Russian Hacking Claims
6785,2016-12-19,Senators Push to Broaden Inquiry on Election Hacking
6786,2016-12-19,How to Respond to Russia’s Hacking
6787,2016-12-20,"Book Deal for Pantsuit Nation, Facebook Page Supporting Hillary Clinton"
6788,2016-12-20,European Officials Accuse Facebook of Misleading Them on WhatsApp Deal
6789,2016-12-21,"For Millions of Immigrants, a Common Language: WhatsApp"
6790,2016-12-22,Investigate Russian Hacking the Right Way
6791,2016-12-22,Daily Report: WhatsApp Is Embraced by World’s Immigrants
6792,2016-12-22,Facebook’s Problem Isn’t Fake News — It’s the Rest of the Internet
6793,2016-12-27,On Leaving Congress
6794,2016-12-27,China’s Cybersecurity Efforts Could Pose New Challenge for Foreign Firms
6795,2016-12-27,Best of The Times’s Live Interactive Journalism on Facebook Live in 2016
6796,2016-12-28,"3 Men Made Millions by Hacking Merger Lawyers, U.S. Says"
6797,2016-12-29,"Donald Trump, After Dismissing Hacking, Agrees to an Intelligence Briefing"
6798,2016-12-29,"Facebook’s Safety Check, Now Automated, Turns a Firecracker Into an Explosion"
6799,2016-12-29,Obama Strikes Back at Russia for Election Hacking
6800,2016-12-29,Report on Russian Hacking
6801,2016-12-30,The Russian Hacking in 200 Words
6802,2016-12-30,"Daily Report: Russia Is Punished for Hacking, but for How Long?"
6803,2016-12-30,"Obama, Trump and Russian Hacking"
6804,2016-12-31,Job No. 1 for a New Congress? Undoing Obama’s Health Law
6805,2017-01-01,Trump Promises a Revelation on Hacking
6806,2017-01-01,"With New Congress Poised to Convene, Obama’s Policies Are in Peril"
6807,2017-01-03,Congress Returns. Republicans Are in Charge. 6 Things to Watch.
6808,2017-01-03,"Congress, Istanbul, Benjamin Netanyahu: Your Tuesday Briefing"
6809,2017-01-03,Word + Quiz: metallurgical
6810,2017-01-03,House Republicans Move to Weaken Office of Congressional Ethics
6811,2017-01-03,The New Congress Is 91% Christian. That’s Barely Budged Since 1961.
6812,2017-01-04,"A New Congress Is Sworn In, but With Many Old Faces"
6813,2017-01-04,Turmoil Overshadows First Day of Republican-Controlled Congress
6814,2017-01-04,Trump Says Intelligence Officials Delayed Briefing on Russian Hacking
6815,2017-01-04,Questions for: ‘Congress Returns. Republicans Are in Charge. 6 Things to Watch’
6816,2017-01-05,"Trump and Julian Assange, an Unlikely Pair, Unite to Sow Hacking Doubts"
6817,2017-01-05,Letter of Recommendation: Instagram Explore
6818,2017-01-05,Intelligence Chief Criticizes ‘Disparagement’ of Findings on Russian Hacking
6819,2017-01-05,"Countering Trump, Bipartisan Voices Strongly Affirm Findings on Russian Hacking"
6820,2017-01-05,"Republican Party, Facebook: Your Thursday Evening Briefing"
6821,2017-01-06,Dabbing in Congress
6822,2017-01-06,Facebook Hires Campbell Brown to Lead News Partnerships Team
6823,2017-01-06,"Congress Under Trump: ‘Surreal,’ a Senator Says"
6824,2017-01-06,Donald Trump’s Statement After Intelligence Briefing on Hacking
6825,2017-01-06,Intelligence Report on Russian Hacking
6826,2017-01-06,A Metal Ball the Size of Massachusetts That NASA Wants to Explore
6827,2017-01-07,"U.S. Reacting at Analog Pace to a Rising Digital Risk, Hacking Report Shows"
6828,2017-01-08,‘What’s the Big Deal?’ Ask Trump Voters on Russia Hacking Report
6829,2017-01-09,"In Election Hacking, Julian Assange’s Years-Old Vision Becomes Reality"
6830,2017-01-09,Obama Watchdog in Congress Has New Target in Trump Era: Postal Reform
6831,2017-01-09,"One Phone, Many Instagram Accounts"
6832,2017-01-09,Trump Reacts to Russian Hacking; His Voters Shrug It Off
6833,2017-01-10,Trump Tells Congress to Repeal and Replace Health Care Law ‘Very Quickly’
6834,2017-01-11,"More Ads to Appear on Instagram, Now on ‘Stories’ Feature"
6835,2017-01-11,"Facebook, Nodding to Its Role in Media, Starts a Journalism Project"
6836,2017-01-12,Brother and Sister Charged With Hacking Prominent Italians
6837,2017-01-12,Rudy Giuliani’s Cybersecurity Role Reflects Diminished Place in Trump World
6838,2017-01-13,"Florida Man Strangled Wife, Then Impersonated Her on Facebook, Police Say"
6839,2017-01-16,Metal Detectorists Help Archaeologists Dig Up a Secret History
6840,2017-01-17,"Mark Zuckerberg, in Suit, Testifies in Oculus Intellectual Property Trial"
6841,2017-01-18,Questions for: ‘Archaeologists and Metal Detectorists Find Common Ground’
6842,2017-01-20,Art Market Mines Gold on Instagram
6843,2017-01-21,Mike’s and Sapna’s Week in Tech: There are Zombie Social Networks. Then There’s Facebook.
6844,2017-01-23,French Tea Shop Opens in the Oculus
6845,2017-01-23,"New Faces in Congress: Catherine Cortez Masto, First Latina Senator"
6846,2017-01-24,Swedish Police Investigate Report of Rape on Facebook Live
6847,2017-01-25,Facebook From Beyond the Grave
6848,2017-01-25,Secret Service Investigates Denver Agent After Facebook Posts
6849,2017-01-25,"In Race Against Fake News, Google and Facebook Stroll to the Starting Line"
6850,2017-01-26,"Trump Orders a Wall Built, but Congress Holds the Checkbook"
6851,2017-01-26,Facebook’s Virtual Reality Business Gets a New Leader
6852,2017-01-26,Daily Report: Google and Facebook Wield Buckets in Fake News Flood
6853,2017-01-26,"Hydrogen Squeezed Into a Metal, Possibly Solid, Harvard Physicists Say"
6854,2017-01-27,Robert Garcia Dies at 84; Bronx Congressman Undone by Scandal
6855,2017-01-27,Russians Charged With Treason Worked in Office Linked to Election Hacking
6856,2017-01-30,"Cardinals to Suffer, but Former Executive Bears Brunt in Hacking Case"
6857,2017-01-31,Czech Government Suspects Foreign Power in Hacking of Its Email
6858,2017-05-01,Congress Allocates $120 Million for Trump Family’s Security Costs
6859,2017-05-02,Why Congress’s Bipartisan Budget Deal Should Make Trump Worried
6860,2017-05-03,Facebook Scrambles to Police Content Amid Rapid Growth
6861,2017-05-03,The Artist Sheila Hicks Will Spin Her Threads on the High Line
6862,2017-05-03,"Marine Le Pen, Facebook: Your Wednesday Evening Briefing"
6863,2017-05-05,Fact Check: Is Congress Exempt From the G.O.P. Health Bill?
6864,2017-05-05,My So-Called (Instagram) Life
6865,2017-05-05,Macron Campaign Says It Was Target of ‘Massive’ Hacking Attack
6866,2017-05-06,U.S. Far-Right Activists Promote Hacking Attack Against Macron
6867,2017-05-06,Macron Hacking Attack: What We Know and Don’t Know
6868,2017-05-06,Don’t Let Facebook Make You Miserable
6869,2017-05-07,"In Discover, Snap Sees a Bright Spot as It Tries to Fend Off Facebook"
6870,2017-05-08,More Older Couples Are ‘Shacking Up’
6871,2017-05-08,Facebook Aims to Tackle Fake News Ahead of U.K. Election
6872,2017-05-08,Why the Macron Hacking Attack Landed With a Thud in France
6873,2017-05-09,F.B.I. Sends Letter to Congress to Clarify Comey's Testimony
6874,2017-05-10,The Filthy Metaphor of Rome
6875,2017-05-10,NYT Archives on Instagram: A Lighthearted Look Into Our Past
6876,2017-05-11,Priming the Pump: The Economic Metaphor Trump ‘Came Up With’
6877,2017-05-11,Ex-Florida Congresswoman Convicted of Taking Money Meant for Charity
6878,2017-05-13,Hacking Attack Has Security Experts Scrambling to Contain Fallout
6879,2017-05-14,A Network Ad Wrangler Undaunted by Facebook and Google
6880,2017-05-14,Small Countries’ New Weapon Against Goliaths: Hacking
6881,2017-05-15,Web Defenders Detect Russian Hand in Iranians’ Hacking Attempt
6882,2017-05-16,Facebook Gets Slap on the Wrist From 2 European Privacy Regulators
6883,2017-05-16,Thailand Warns Facebook After Video Seems to Show King in Crop Top
6884,2017-05-17,Instagram in Iran's Election
6885,2017-05-18,E.U. Fines Facebook $122 Million Over Disclosures in WhatsApp Deal
6886,2017-05-18,Getting Recommendations From Facebook Friends
6887,2017-05-18,Trump Sends Nafta Renegotiation Notice to Congress
6888,2017-05-18,Cannes Rolls Out the Red Carpet (Now With Metal Detectors)
6889,2017-05-18,"Congress Opens Battle to Reshape Taxes, and the Goal Isn’t Perfection"
6890,2017-05-19,F.B.I. Once Warned G.O.P. Congressman That Russian Spies Were Recruiting Him
6891,2017-05-19,Live on Instagram at 3 a.m.: Iranian Presidential Candidates
6892,2017-05-19,Daily Report: Europe Gets Tough on Facebook
6893,2017-05-22,Ivanka Trump Swayed the President on Family Leave. Congress Is a Tougher Sell.
6894,2017-05-23,Doing a 180 on Facebook 360 Photos
6895,2017-05-25,Mark Zuckerberg’s Great American Road Trip
6896,2017-05-25,"Rumors on WhatsApp Ignite 2 Mob Attacks in India, Killing 7"
6897,2017-05-26,From Heavy Metal Frontman to Taiwan’s Parliament
6898,2017-05-26,Congressional Democrats’ Letter to State Senators
6899,2017-05-26,Democrats in Congress Urge Democrats in Albany to Return to the Party
6900,2017-05-26,Russian Once Tied to Trump Aide Seeks Immunity to Cooperate With Congress
6901,2017-05-27,The Instagram Obituaries of the Young Manchester Victims
6902,2017-05-30,"Movers: Amazon’s Stock Price Hits $1,000"
6903,2017-05-30,Trump’s Personal Lawyer Refuses to Cooperate With Congressional Inquiries
6904,2017-05-31,China’s New Cybersecurity Law Leaves Foreign Firms Guessing
6905,2017-06-01,1967: Argentine Opinion Polls to Replace Congress
6906,2017-06-01,"The Military Dentist With 150,000 Instagram Followers"
6907,2017-06-02,A Revitalized Pittsburgh Says the President Used a Rusty Metaphor
6908,2017-06-02,Trump Administration Returns Copies of Report on C.I.A. Torture to Congress
6909,2017-06-02,"Mick Mulvaney on the Budget, Congressional Scorekeepers and Staying Frugal"
6910,2017-06-04,Oculus Founder Plots a Comeback With a Virtual Border Wall
6911,2017-06-05,"Rebuking Congress, Cuomo Plans to Keep State Health Care Plans Intact"
6912,2017-06-06,How Bots Are Inflating Instagram Egos
6913,2017-06-07,Cuomo Assails Six New York Congressional Republicans
6914,2017-06-07,Congress Must Reauthorize Foreign Surveillance
6915,2017-06-07,Facebook’s Role in European Elections Under Scrutiny
6916,2017-06-07,"A Men’s Label, Born on Instagram"
6917,2017-06-07,What Congress Will Ask James Comey
6918,2017-06-09,Hacking in Qatar Highlights a Shift Toward Espionage-for-Hire
6919,2017-06-09,Why ‘Radical Body Love’ Is Thriving on Instagram
6920,2017-06-12,Hearing Aids at the Mall? Congress Could Make It Happen
6921,2017-06-13,What Will Congress Ask Jeff Sessions?
6922,2017-06-14,Jeff Sessions Clams Up in Congress
6923,2017-06-14,"Congress Set to Prod Trump, Who Denies Russia Meddled, to Punish Moscow"
6924,2017-06-14,Democrats in Congress Sue Trump Over Foreign Business Dealings
6925,2017-06-14,Congressman Steve Scalise Gravely Wounded in Alexandria Baseball Field Ambush
6926,2017-06-14,What Happened at the Shooting at a Congressional Baseball Practice
6927,2017-06-14,"4 Shot at Baseball Field, Including a Republican Congressman"
6928,2017-06-14,Solemn Trump Calls for Unity After Congressman’s Shooting
6929,2017-06-14,An Attack on Congress and Baseball
6930,2017-06-15,Facebook Will Use Artificial Intelligence to Find Extremist Posts
6931,2017-06-16,Congressional Baseball: A Show of Unity on the Ball Field
6932,2017-06-16,Congressional Baseball Game
6933,2017-06-16,"At Congressional Baseball Game, a Different Type of Victory on Display"
6934,2017-06-19,Congress’s Futile Game Goes On After Assault
6935,2017-06-19,World Leaders Wary of Trump May Have an Ally: Congress
6936,2017-06-19,The 15 Best-Educated Congressional Districts in the U.S.
6937,2017-06-19,‘Our Phones Are Being Monitored’: How a Hacking Story Unfurled
6938,2017-06-20,Beyoncé’s Twins Are the Only Kids Trevor Noah Wants to See on Facebook
6939,2017-06-21,"Congressman’s Shooting Likely a Spontaneous Act, F.B.I. Says"
6940,2017-06-21,Memo From the Democratic Congressional Campaign Committee
6941,2017-06-21,"Obama White House Knew of Russian Election Hacking, but Delayed Telling"
6942,2017-06-22,Congress Steps Up on Foreign Policy
6943,2017-06-22,Ranked by Instagram: The Latest Men’s Wear Shows
6944,2017-06-23,"Get Cancer Now, Before Congress Cuts Your Insurance"
6945,2017-06-26,"California Today: Young, Arab, Latino and Vying for Congress"
6946,2017-06-26,"Google Said to Face $1.2 Billion Antitrust Fine, but Battle With Europe Looms"
6947,2017-06-26,"A Surprise Collection, From Stefano Pilati, Revealed on Instagram"
6948,2017-06-27,"E.P.A. Official Pressured Scientist on Congressional Testimony, Emails Show"
6949,2017-06-27,Shopping Without Instagram: It’s Full of Surprises
6950,2017-06-27,"Tweeting, Not Leading, the Response to Russian Hacking"
6951,2017-06-27,"Facebook, Free Expression and the Power of a Leak"
6952,2017-06-27,Google Fined Record $2.7 Billion in E.U. Antitrust Ruling
6953,2017-06-28,Do I Report a Teacher’s Racist Facebook Post?
6954,2017-06-28,Blue Apron Slashes Share Price for Its I.P.O.
6955,2017-06-28,Ranked by Instagram: The Paris Men’s Wear Shows
6956,2017-06-29,Tie Congress’s Paychecks to Our Good Health
6957,2017-06-29,Deadline Is Set for Congress to Raise Debt Ceiling
6958,2017-07-01,"‘I Want This to Get Over’: After Congressional Shooting, Complex Grief for a Gunman’s Widow"
6959,2017-07-03,Congress Moves to Stop I.R.S. From Enforcing Health Law Mandate
6960,2017-07-04,Putting Citizenship Back in Congress
6961,2017-07-05,Louisiana Congressman Retracts Video Filmed at Auschwitz
6962,2017-07-07,Facebook When You No Longer Care
6963,2017-07-08,How to Make Congress Bipartisan
6964,2017-07-08,"Even Now, Does Mr. Trump Get It on Hacking?"
6965,2017-07-08,"At Couture Fashion Week, an Antidote to the Instagram Age"
6966,2017-07-09,Trump Sows Confusion Over Russian Hacking
6967,2017-07-09,News Outlets to Seek Bargaining Rights Against Google and Facebook
6968,2017-07-09,"Allen & Co.’s Meeting of the Moguls, and Yellen Goes to Congress"
